#separator:tab
#html:true
Mit welchen Geräten bzw. Verfahren kann man Metabolite trennen und bestimmen?	<ul><li>Gas-Chromatografie-Massenspektrometrie<br></li><li>Flüssigchromatografie-Massenspektrometrie<br></li><li>Hochleistungsflüssigkeits-Chromatographie<br></li></ul>
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".0283"" data-top="".2821"" data-width="".2401"" data-height="".1054"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".7874"" data-top="".1318"" data-width="".1103"" data-height="".0793"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""3"" data-shape=""rect"" data-left="".7718"" data-top="".5681"" data-width="".1479"" data-height="".0585"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".319"" data-top="".6151"" data-width="".2556"" data-height="".0898"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".3631"" data-top="".7299"" data-width="".2478"" data-height="".0908"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".0426"" data-top="".6798"" data-width="".1882"" data-height="".0658"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-aaf7fc195cc2ea18edfb93e99c7f796600f18a77.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".0283"" data-top="".2821"" data-width="".2401"" data-height="".1054"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".7874"" data-top="".1318"" data-width="".1103"" data-height="".0793"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""3"" data-shape=""rect"" data-left="".7718"" data-top="".5681"" data-width="".1479"" data-height="".0585"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".319"" data-top="".6151"" data-width="".2556"" data-height="".0898"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".3631"" data-top="".7299"" data-width="".2478"" data-height="".0908"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".0426"" data-top="".6798"" data-width="".1882"" data-height="".0658"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-aaf7fc195cc2ea18edfb93e99c7f796600f18a77.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".0283"" data-top="".2821"" data-width="".2401"" data-height="".1054"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".7874"" data-top="".1318"" data-width="".1103"" data-height="".0793"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".7718"" data-top="".5681"" data-width="".1479"" data-height="".0585"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".319"" data-top="".6151"" data-width="".2556"" data-height="".0898"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".3631"" data-top="".7299"" data-width="".2478"" data-height="".0908"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""6"" data-shape=""rect"" data-left="".0426"" data-top="".6798"" data-width="".1882"" data-height="".0658"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-aaf7fc195cc2ea18edfb93e99c7f796600f18a77.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".0283"" data-top="".2821"" data-width="".2401"" data-height="".1054"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".7874"" data-top="".1318"" data-width="".1103"" data-height="".0793"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".7718"" data-top="".5681"" data-width="".1479"" data-height="".0585"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".319"" data-top="".6151"" data-width="".2556"" data-height="".0898"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".3631"" data-top="".7299"" data-width="".2478"" data-height="".0908"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""6"" data-shape=""rect"" data-left="".0426"" data-top="".6798"" data-width="".1882"" data-height="".0658"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-aaf7fc195cc2ea18edfb93e99c7f796600f18a77.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".0283"" data-top="".2821"" data-width="".2401"" data-height="".1054"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".7874"" data-top="".1318"" data-width="".1103"" data-height="".0793"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".7718"" data-top="".5681"" data-width="".1479"" data-height="".0585"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""4"" data-shape=""rect"" data-left="".319"" data-top="".6151"" data-width="".2556"" data-height="".0898"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".3631"" data-top="".7299"" data-width="".2478"" data-height="".0908"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".0426"" data-top="".6798"" data-width="".1882"" data-height="".0658"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-aaf7fc195cc2ea18edfb93e99c7f796600f18a77.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".0283"" data-top="".2821"" data-width="".2401"" data-height="".1054"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".7874"" data-top="".1318"" data-width="".1103"" data-height="".0793"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".7718"" data-top="".5681"" data-width="".1479"" data-height="".0585"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""4"" data-shape=""rect"" data-left="".319"" data-top="".6151"" data-width="".2556"" data-height="".0898"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".3631"" data-top="".7299"" data-width="".2478"" data-height="".0908"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".0426"" data-top="".6798"" data-width="".1882"" data-height="".0658"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-aaf7fc195cc2ea18edfb93e99c7f796600f18a77.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".0283"" data-top="".2821"" data-width="".2401"" data-height="".1054"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""2"" data-shape=""rect"" data-left="".7874"" data-top="".1318"" data-width="".1103"" data-height="".0793"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".7718"" data-top="".5681"" data-width="".1479"" data-height="".0585"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".319"" data-top="".6151"" data-width="".2556"" data-height="".0898"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".3631"" data-top="".7299"" data-width="".2478"" data-height="".0908"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".0426"" data-top="".6798"" data-width="".1882"" data-height="".0658"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-aaf7fc195cc2ea18edfb93e99c7f796600f18a77.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".0283"" data-top="".2821"" data-width="".2401"" data-height="".1054"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""2"" data-shape=""rect"" data-left="".7874"" data-top="".1318"" data-width="".1103"" data-height="".0793"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".7718"" data-top="".5681"" data-width="".1479"" data-height="".0585"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".319"" data-top="".6151"" data-width="".2556"" data-height="".0898"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".3631"" data-top="".7299"" data-width="".2478"" data-height="".0908"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".0426"" data-top="".6798"" data-width="".1882"" data-height="".0658"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-aaf7fc195cc2ea18edfb93e99c7f796600f18a77.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".0283"" data-top="".2821"" data-width="".2401"" data-height="".1054"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".7874"" data-top="".1318"" data-width="".1103"" data-height="".0793"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".7718"" data-top="".5681"" data-width="".1479"" data-height="".0585"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".319"" data-top="".6151"" data-width="".2556"" data-height="".0898"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""5"" data-shape=""rect"" data-left="".3631"" data-top="".7299"" data-width="".2478"" data-height="".0908"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".0426"" data-top="".6798"" data-width="".1882"" data-height="".0658"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-aaf7fc195cc2ea18edfb93e99c7f796600f18a77.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".0283"" data-top="".2821"" data-width="".2401"" data-height="".1054"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".7874"" data-top="".1318"" data-width="".1103"" data-height="".0793"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".7718"" data-top="".5681"" data-width="".1479"" data-height="".0585"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".319"" data-top="".6151"" data-width="".2556"" data-height="".0898"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""5"" data-shape=""rect"" data-left="".3631"" data-top="".7299"" data-width="".2478"" data-height="".0908"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".0426"" data-top="".6798"" data-width="".1882"" data-height="".0658"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-aaf7fc195cc2ea18edfb93e99c7f796600f18a77.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
Was sind die Aufgaben des Promotors?&nbsp;	<ul><li>Bindungstelle für Polymerase</li><li>Bindungstelle für Regulatoren (Repressor oder Aktivator)</li></ul>
Welche zwei Modelle von prokaryotischen Genen gibt es?&nbsp;	Monocistronische und Polycistronische Organisation
Generelle Bestandteile eines prokaryotischen Gens	<ul><li>Promotor</li><li>Kodierende Region<br></li><li> Transkriptionsterminator<br></li></ul>
Was sind die Elemente eines Operons?&nbsp;	<ul><li>activation site<br></li><li>operator<br></li><li>promotor</li><li>transcription start site</li><li>ribosome binding site<br></li><li>Terminator</li></ul>
Was bindet an den Operator (bei prok. Genen)?	Repressor Proteine
Was bindet an den Promotor?&nbsp;	RNA-Polymerase
Sequenz der&nbsp;RBS	AGGAGG
Wie nennt man RBS auch?	Shine Dalgarno Sequenz
Wie nennt man Shine Dalgarno Sequenz auch?	RBS
Was ist die Definition von Translationelles Coupling? 	Mechanismus der Genexpressionsregulation, bei dem die Synthese einer mRNA (Transkription) durch ihre gleichzeitige Entschlüsselung (Translation) beeinflusst wird. Bei Prokaryoten werden mRNAs bereits während ihrer Transkription translatiert.
Was ist der Begriff zu Mechanismus der Genexpressionsregulation, bei dem die Synthese einer mRNA (Transkription) durch ihre gleichzeitige Entschlüsselung (Translation) beeinflusst wird. Bei Prokaryoten werden mRNAs bereits während ihrer Transkription translatiert.?	Translationelles Coupling
Welche Interaktionen in Bezug auf die Genexpression gibt es?&nbsp;	<ul><li>Protein-DNA</li><li>Protein-RNA</li><li>Protein-Protein</li><li>DNA-RNA</li><li>RNA-RNA</li></ul>
Was ist die Definition von Konstitutive Genexpression? 	Nicht regulierte Genexpression, die kontinuierlich abläuft.
Was ist der Begriff zu Nicht regulierte Genexpression, die kontinuierlich abläuft.?	Konstitutive Genexpression
Was ist die Definition von Fakultative Genexpression? 	Ein Gen wird nur transkribiert, wenn es benötigt wird.
Was ist der Begriff zu Ein Gen wird nur transkribiert, wenn es benötigt wird.?	Fakultative Genexpression
Was ist die Definition von Induzierbare Genexpression? 	Ein Gen, dessen Expression auf ein Signal reagiert
Was ist der Begriff zu Ein Gen, dessen Expression auf ein Signal reagiert?	Induzierbare Genexpression
Was ist die Definition von Positive Regulation der Genexpression? 	Aktivierung oder Induktion der Genexpression.
Was ist der Begriff zu Aktivierung oder Induktion der Genexpression.?	Positive Regulation der Genexpression
Was ist die Definition von Negative Regulation der Genexpression? 	Repression der Genexpression
Was ist der Begriff zu Repression der Genexpression?	Negative Regulation der Genexpression
Was ist die Definition von cis-acting element? 	Regulatorisches Element, das physisch mit dem Gen verbunden ist, das es steuert.
Was ist der Begriff zu Regulatorisches Element, das physisch mit dem Gen verbunden ist, das es steuert.?	cis-acting element
Was ist die Definition von trans-acting element? 	Regulatorisches Element, das nicht physisch mit dem Zielgen verbunden ist.
Was ist der Begriff zu Regulatorisches Element, das nicht physisch mit dem Zielgen verbunden ist.?	trans-acting element
Was ist die Definition von Modulon? 	Eine Gruppe von Regulons oder Operons, die kollektiv auf Veränderungen der allgemeinen Bedingungen oder auf Stress reagieren, aber unter der Kontrolle unterschiedlicher oder sich überschneidender regulatorischer Moleküle stehen
Was ist der Begriff zu Eine Gruppe von Regulons oder Operons, die kollektiv auf Veränderungen der allgemeinen Bedingungen oder auf Stress reagieren, aber unter der Kontrolle unterschiedlicher oder sich überschneidender regulatorischer Moleküle stehen?	Modulon
Welche regulatorischen RNAs gibt es in Bakterien?&nbsp;	<ul><li>Riboswitches<br></li><li>small RNA (sRNA) regulators<br></li><li>CRISPR-Cas<br></li></ul>
Was sind die beiden Parts eines Riboswitches?&nbsp;	<ul><li>Aptamer-Region<br></li><li> Expressionsplattform<br></li></ul>
Was ist die Definition von  Expressionsplattform? 	Der Teil des Riboswitches, der strukturelle Änderungen durchführt, um die Genexpression zu regulieren.
Was ist der Begriff zu Der Teil des Riboswitches, der strukturelle Änderungen durchführt, um die Genexpression zu regulieren.?	 Expressionsplattform
Was ist die Definition von Aptamer-Region? 	Der Teil des Riboswitches, der das Molekül erkennt und bindet
Was ist der Begriff zu Der Teil des Riboswitches, der das Molekül erkennt und bindet?	Aptamer-Region
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".45"" data-top="".1464"" data-width="".1708"" data-height="".0825"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".651"" data-top="".3145"" data-width="".3461"" data-height="".1681"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".315"" data-top="".7393"" data-width="".3635"" data-height="".1764"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""4"" data-shape=""rect"" data-left="".0204"" data-top="".756"" data-width="".2681"" data-height="".1618"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".069"" data-top="".374"" data-width="".1588"" data-height="".1681"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-7936e2649e5707f3275cb188c04444f39f3faa72.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".45"" data-top="".1464"" data-width="".1708"" data-height="".0825"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".651"" data-top="".3145"" data-width="".3461"" data-height="".1681"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".315"" data-top="".7393"" data-width="".3635"" data-height="".1764"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""4"" data-shape=""rect"" data-left="".0204"" data-top="".756"" data-width="".2681"" data-height="".1618"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".069"" data-top="".374"" data-width="".1588"" data-height="".1681"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-7936e2649e5707f3275cb188c04444f39f3faa72.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".45"" data-top="".1464"" data-width="".1708"" data-height="".0825"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".651"" data-top="".3145"" data-width="".3461"" data-height="".1681"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".315"" data-top="".7393"" data-width="".3635"" data-height="".1764"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".0204"" data-top="".756"" data-width="".2681"" data-height="".1618"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""5"" data-shape=""rect"" data-left="".069"" data-top="".374"" data-width="".1588"" data-height="".1681"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-7936e2649e5707f3275cb188c04444f39f3faa72.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".45"" data-top="".1464"" data-width="".1708"" data-height="".0825"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".651"" data-top="".3145"" data-width="".3461"" data-height="".1681"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".315"" data-top="".7393"" data-width="".3635"" data-height="".1764"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".0204"" data-top="".756"" data-width="".2681"" data-height="".1618"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""5"" data-shape=""rect"" data-left="".069"" data-top="".374"" data-width="".1588"" data-height="".1681"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-7936e2649e5707f3275cb188c04444f39f3faa72.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".45"" data-top="".1464"" data-width="".1708"" data-height="".0825"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""2"" data-shape=""rect"" data-left="".651"" data-top="".3145"" data-width="".3461"" data-height="".1681"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".315"" data-top="".7393"" data-width="".3635"" data-height="".1764"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".0204"" data-top="".756"" data-width="".2681"" data-height="".1618"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".069"" data-top="".374"" data-width="".1588"" data-height="".1681"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-7936e2649e5707f3275cb188c04444f39f3faa72.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".45"" data-top="".1464"" data-width="".1708"" data-height="".0825"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""2"" data-shape=""rect"" data-left="".651"" data-top="".3145"" data-width="".3461"" data-height="".1681"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".315"" data-top="".7393"" data-width="".3635"" data-height="".1764"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".0204"" data-top="".756"" data-width="".2681"" data-height="".1618"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".069"" data-top="".374"" data-width="".1588"" data-height="".1681"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-7936e2649e5707f3275cb188c04444f39f3faa72.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
